#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
1,AH-0002,356,100,100,76,80
2,AH-0011,340,100,100,40,100
3,AH-0015,316,100,100,56,60
4,AH-0004,296,100,100,56,40
5,AH-0024,291,95,100,56,40
6,AH-0001,282,100,100,52,30
7,AH-0008,280,100,92,48,40
8,AH-0003,273,100,100,48,25
9,AH-0039,259,95,100,24,40
10,AH-0006,250,100,40,80,30
11,AH-0012,245,100,100,40,5
12,AH-0005,241,100,48,48,45
12,AH-0020,241,100,100,16,25
14,AH-0007,235,95,100,40,0
15,AH-0023,230,100,100,0,30
16,AH-0009,218,100,100,8,10
17,AH-0305,217,100,48,24,45
18,AH-0016,215,100,100,0,15
19,AH-0013,206,100,28,48,30
20,AH-0021,200,100,100,0,0
21,AH-0018,196,100,48,8,40
22,AH-0321,195,100,64,16,15
23,AH-0014,193,100,0,48,45
24,AH-0010,187,100,32,40,15
25,AH-0027,175,100,52,8,15
26,AH-0019,172,100,32,0,40
27,AH-0323,171,95,52,24,-
28,AH-0079,167,100,52,0,15
29,AH-0385,165,100,52,8,5
30,AH-0029,161,100,48,8,5
31,AH-0354,160,100,24,36,-
32,AH-0058,159,100,28,16,15
32,AH-0337,159,95,28,36,-
34,AH-0037,157,100,32,0,25
34,AH-0065,157,95,24,8,30
34,AH-0080,157,100,52,-,5
37,AH-0028,156,100,56,-,-
38,AH-0054,153,100,48,0,5
38,AH-0370,153,95,20,8,30
40,AH-0031,152,100,44,8,0
40,AH-0123,152,95,44,8,5
40,AH-0161,152,100,20,32,-
40,AH-0381,152,100,52,0,0
44,AH-0053,147,100,24,8,15
44,AH-0085,147,95,52,0,0
46,AH-0035,145,100,40,0,5
47,AH-0064,144,100,44,-,0
47,AH-0072,144,100,28,16,-
47,AH-0315,144,100,20,24,0
50,AH-0314,143,100,28,0,15
51,AH-0069,142,90,44,8,-
51,AH-0383,142,90,52,0,0
53,AH-0325,141,85,28,8,20
53,AH-0377,141,100,16,0,25
55,AH-0045,139,100,24,0,15
56,AH-0319,138,95,20,8,15
57,AH-0075,137,100,24,8,5
58,AH-0326,136,100,28,8,0
59,AH-0022,135,100,20,0,15
